period_type,fiscal_year_be,period_order,period_label,indicator_no,indicator_name,target_text,target_type,target_value,numerator,denominator,actual_percent,status,gap_from_target
ไตรมาส,2568,1,ไตรมาส 1,11,อัตราผู้ป่วย DM ที่ได้รับการตรวจ Microalbuminuria ประจำปี,> 80%,>,80,12,717,1.67,ไม่ผ่าน,-78.33
ไตรมาส,2568,1,ไตรมาส 1,12,อัตราผู้ป่วย DM มี Microalbuminuria ที่ได้รักษาด้วยยา ACEI หรือ ARB,>= 60%,>=,60,2,7,28.57,ไม่ผ่าน,-31.43
ไตรมาส,2568,1,ไตรมาส 1,13,อัตราผู้ป่วย DM ที่ได้รับการตรวจจอประสาทตาประจำปี,> 70%,>,70,83,717,11.58,ไม่ผ่าน,-58.42
ไตรมาส,2568,1,ไตรมาส 1,14,อัตราผู้ป่วย DM ที่ได้รับการตรวจสุขภาพช่องปากประจำปี,> 40%,>,40,40,717,5.58,ไม่ผ่าน,-34.42
ไตรมาส,2568,1,ไตรมาส 1,15,อัตราผู้ป่วย DM ที่ได้รับการตรวจเท้าอย่างละเอียดประจำปี,> 80%,>,80,35,717,4.88,ไม่ผ่าน,-75.12
ไตรมาส,2568,1,ไตรมาส 1,16,อัตราผู้ป่วยเบาหวานที่มี Diabetic retinopathy,< 15%,<,15,59,717,8.23,ผ่าน,6.77
ไตรมาส,2568,1,ไตรมาส 1,17,อัตราผู้ป่วยเบาหวานที่มี Diabetic nephropathy,< 30%,<,30,18,717,2.51,ผ่าน,27.49
ไตรมาส,2568,1,ไตรมาส 1,18,อัตราผู้ป่วยเบาหวานที่มีแผลที่เท้า,< 5%,<,5,5,717,0.7,ผ่าน,4.3
ไตรมาส,2568,2,ไตรมาส 2,1,อัตราผู้ป่วย DM ที่ได้รับการตรวจ HbA1c,>= 70%,>=,70,608,760,80,ผ่าน,10
ไตรมาส,2568,2,ไตรมาส 2,2,อัตราผู้ป่วยเบาหวานชนิดที่ 2 ที่มีระดับ HbA1c < 7%,> 40%,>,40,101,703,14.37,ไม่ผ่าน,-25.63
ไตรมาส,2568,2,ไตรมาส 2,3,อัตราผู้ป่วยเบาหวานชนิดที่ 1 ที่มีระดับ HbA1c < 7%,> 40%,>,40,7,37,18.92,ไม่ผ่าน,-21.08
ไตรมาส,2568,2,ไตรมาส 2,4,อัตราการรักษาในโรงพยาบาลเนื่องจากภาวะแทรกซ้อนเฉียบพลันจาก DM,< 4%,<,4,0,760,0,ผ่าน,4
ไตรมาส,2568,2,ไตรมาส 2,5,อัตราการรักษาในโรงพยาบาลเนื่องจากภาวะแทรกซ้อนเฉียบพลัน Hypoglycemia,< 4%,<,4,0,760,0,ผ่าน,4
ไตรมาส,2568,2,ไตรมาส 2,6,"อัตราการรักษาในโรงพยาบาลเนื่องจากภาวะแทรกซ้อนเฉียบพลัน Hyperglycemia, DKA",< 4%,<,4,0,760,0,ผ่าน,4
ไตรมาส,2568,2,ไตรมาส 2,7,อัตราผู้ป่วย DM ที่ได้รับการตรวจ Lipid profile,> 70%,>,70,219,760,28.82,ไม่ผ่าน,-41.18
ไตรมาส,2568,2,ไตรมาส 2,8,อัตราผู้ป่วย DM ที่มีระดับ LDL < 100 mg/dL,> 60%,>,60,125,760,16.45,ไม่ผ่าน,-43.55
ไตรมาส,2568,2,ไตรมาส 2,9,อัตราของระดับความดันโลหิตในผู้ป่วย DM <= 130/80 mmHg,>= 60%,>=,60,217,760,28.55,ไม่ผ่าน,-31.45
ไตรมาส,2568,2,ไตรมาส 2,10,อัตราผู้ป่วย DM อายุ 40 ปีขึ้นไปที่ได้รับยา Aspirin,> 70%,>,70,249,661,37.67,ไม่ผ่าน,-32.33
ไตรมาส,2568,2,ไตรมาส 2,11,อัตราผู้ป่วย DM ที่ได้รับการตรวจ Microalbuminuria ประจำปี,> 80%,>,80,10,760,1.32,ไม่ผ่าน,-78.68
