"period_type","fiscal_year_be","period_order","period_label","indicator_no","indicator_name","target_text","target_type","target_value","numerator","denominator","actual_percent","status","gap_from_target"
"เดือน","2567","9","มิถุนายน","15","อัตราผู้ป่วย DM ที่ได้รับการตรวจเท้าอย่างละเอียดประจำปี",">= 80%",">=","80","3","286","1.05","ไม่ผ่าน","-78.95"
"เดือน","2567","10","กรกฎาคม","1","อัตราผู้ป่วย DM ที่ได้รับการตรวจ HbA1c",">= 70%",">=","70","112","379","29.55","ไม่ผ่าน","-40.45"
"เดือน","2567","10","กรกฎาคม","2","อัตราผู้ป่วย DM ที่มี HbA1c น้อยกว่า 7","> 40%",">","40","28","112","25","ไม่ผ่าน","-15"
"เดือน","2567","10","กรกฎาคม","13","อัตราผู้ป่วย DM ที่ได้รับการตรวจจอประสาทตาประจำปี",">= 70%",">=","70","32","379","8.44","ไม่ผ่าน","-61.56"
"เดือน","2567","10","กรกฎาคม","14","อัตราผู้ป่วย DM ที่ได้รับการตรวจสุขภาพช่องปากประจำปี","> 40%",">","40","0","379","0","ไม่ผ่าน","-40"
"เดือน","2567","10","กรกฎาคม","15","อัตราผู้ป่วย DM ที่ได้รับการตรวจเท้าอย่างละเอียดประจำปี",">= 80%",">=","80","3","379","0.79","ไม่ผ่าน","-79.21"
"เดือน","2567","11","สิงหาคม","1","อัตราผู้ป่วย DM ที่ได้รับการตรวจ HbA1c",">= 70%",">=","70","56","280","20","ไม่ผ่าน","-50"
"เดือน","2567","11","สิงหาคม","2","อัตราผู้ป่วย DM ที่มี HbA1c น้อยกว่า 7","> 40%",">","40","15","56","26.79","ไม่ผ่าน","-13.21"
"เดือน","2567","11","สิงหาคม","13","อัตราผู้ป่วย DM ที่ได้รับการตรวจจอประสาทตาประจำปี",">= 70%",">=","70","40","280","14.29","ไม่ผ่าน","-55.71"
"เดือน","2567","11","สิงหาคม","14","อัตราผู้ป่วย DM ที่ได้รับการตรวจสุขภาพช่องปากประจำปี","> 40%",">","40","0","280","0","ไม่ผ่าน","-40"
"เดือน","2567","11","สิงหาคม","15","อัตราผู้ป่วย DM ที่ได้รับการตรวจเท้าอย่างละเอียดประจำปี",">= 80%",">=","80","1","280","0.36","ไม่ผ่าน","-79.64"
